epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.66388,1.10849,2.45532,4.62724,1.24645,0,0.00425,0.55556,0.00759,0.00511,0.00255,0.33333,0.01679,0.00645,1.4683,3.8537,3.81668,1.70483,0,1.667e-05,1.667e-05,1.667e-05
2,7.87778,1.1419,2.26773,4.5623,1.26992,0,0.00503,0.66667,0.00915,0.00559,0.00168,0.22222,0.01838,0.00692,1.42273,3.8338,3.83563,1.65546,0,4.95974e-05,4.95974e-05,4.95974e-05
3,9.42767,1.11658,2.19997,4.51178,1.19081,0,0.00493,0.66667,0.01047,0.00728,0.00329,0.44444,0.02352,0.00845,1.38335,3.86878,3.82394,1.60967,0,8.19747e-05,8.19747e-05,8.19747e-05
4,11.3007,1.15579,2.26277,4.41904,1.2093,0,0.00583,0.77778,0.16022,0.08609,0.00583,0.77778,0.13609,0.09346,1.36318,3.29086,3.73194,1.54707,0,0.000113802,0.000113802,0.000113802
5,12.9114,1.11736,1.98661,4.23135,1.21826,0,0.00653,0.88889,0.25182,0.15894,0.00653,0.88889,0.25539,0.1916,1.35878,2.63207,3.5534,1.4876,0,0.000145079,0.000145079,0.000145079
6,14.5643,1.08903,1.58133,3.71164,1.18625,0,0.00691,1,0.32752,0.19481,0.00691,1,0.36484,0.2428,1.19347,2.00422,3.55996,1.34073,0,0.000175806,0.000175806,0.000175806
7,16.1651,1.20688,1.86349,3.72788,1.30201,0,0.00667,1,0.4775,0.25779,0.00667,1,0.62859,0.36488,1.37077,1.72034,3.39151,1.41968,0,0.000205983,0.000205983,0.000205983
8,17.798,0.99258,1.60618,4.03518,1.10289,0,0.00609,0.88889,0.59925,0.36134,0.00685,1,0.70374,0.44715,1.37602,1.61546,3.37284,1.37869,0,0.00023561,0.00023561,0.00023561
9,19.3909,1.04797,1.35511,3.24005,1.1969,0,0.00623,0.88889,0.62904,0.35763,0.00623,0.88889,0.77079,0.45004,1.34525,1.60154,3.38798,1.35376,0,0.000264686,0.000264686,0.000264686
10,21.1126,1.08127,1.45951,3.63121,1.14068,0,0.00631,0.88889,0.50917,0.31369,0.0071,1,0.77203,0.37685,1.29402,1.60987,3.35098,1.31691,0,0.000293213,0.000293213,0.000293213
